SYMBOL, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
ACC, 25-Jun-2020,1265.65,1263.0,1281.8,1245.0, 1248.00,1251.1,1263.99,733630.0,9273.03,33477.0, 191036, 26.04
ADANIENT, 25-Jun-2020,154.8,153.25,169.2,153.0, 162.50,161.65,163.44,14628400.0,23909.35,89043.0, 2164390, 14.80
ADANIPORTS, 25-Jun-2020,351.85,349.8,351.5,342.2, 345.50,344.0,346.14,5056963.0,17504.02,53008.0, 2467305, 48.79
ADANIPOWER, 25-Jun-2020,37.75,37.85,38.25,36.5, 37.20,36.75,37.28,15974452.0,5955.36,23885.0, 8328106, 52.13
AMARAJABAT, 25-Jun-2020,655.6,656.0,657.9,635.0, 640.00,640.25,642.09,1257209.0,8072.42,21191.0, 545384, 43.38
AMBUJACEM, 25-Jun-2020,188.7,188.1,191.35,185.35, 185.95,186.25,188.27,4479141.0,8432.7,40353.0, 2424641, 54.13
APOLLOHOSP, 25-Jun-2020,1411.8,1411.8,1444.0,1405.5, 1441.05,1437.5,1428.47,872301.0,12460.6,48629.0, 183358, 21.02
APOLLOTYRE, 25-Jun-2020,108.75,108.7,113.35,107.25, 112.80,112.3,111.46,13009944.0,14501.14,53431.0, 1348432, 10.36
ASHOKLEY, 25-Jun-2020,54.15,54.0,54.8,52.5, 53.55,53.45,53.85,47196653.0,25415.94,94102.0, 12437817, 26.35
ASIANPAINT, 25-Jun-2020,1747.25,1740.0,1747.0,1683.15, 1692.55,1689.0,1710.29,4054986.0,69351.86,148606.0, 1308496, 32.27
AUROPHARMA, 25-Jun-2020,791.95,790.95,808.0,786.5, 790.95,789.85,794.94,3499110.0,27815.72,78458.0, 1174537, 33.57
AXISBANK, 25-Jun-2020,424.65,419.0,428.7,410.35, 418.90,421.7,420.13,49854504.0,209454.23,356209.0, 11216077, 22.50
BAJAJ-AUTO, 25-Jun-2020,2817.25,2789.8,2890.0,2772.7, 2817.00,2820.45,2847.35,1341923.0,38209.26,74504.0, 356250, 26.55
BAJAJFINSV, 25-Jun-2020,6046.05,5966.0,6125.0,5920.25, 6012.25,6021.15,6015.36,1900316.0,114310.94,187003.0, 334900, 17.62
BAJFINANCE, 25-Jun-2020,2934.45,2878.05,3046.0,2851.0, 2990.00,3005.35,2959.8,15982155.0,473039.7,489159.0, 1229880, 7.70
BALKRISIND, 25-Jun-2020,1255.5,1250.0,1250.05,1216.0, 1233.00,1236.95,1232.97,951655.0,11733.65,28310.0, 286793, 30.14
BANDHANBNK, 25-Jun-2020,331.35,320.05,343.35,319.05, 336.00,335.4,333.61,28697243.0,95735.5,263150.0, 2673009, 9.31
BANKBARODA, 25-Jun-2020,51.6,51.0,53.0,50.1, 52.35,52.0,51.68,63334346.0,32732.73,146199.0, 7547851, 11.92
BANKEX,,,,,,,,,,,,,
BANKNIFTY,,,,,,,,,,,,,
BATAINDIA, 25-Jun-2020,1331.4,1330.0,1340.0,1312.0, 1321.00,1319.05,1323.49,604495.0,8000.41,27512.0, 109174, 18.06
BEL, 25-Jun-2020,82.5,81.95,84.95,81.0, 84.05,83.7,83.7,20262420.0,16960.29,78071.0, 7510721, 37.07
BERGEPAINT, 25-Jun-2020,540.8,540.0,543.9,517.35, 522.90,520.2,528.21,2386728.0,12607.04,41547.0, 662349, 27.75
BHARAT22,,,,,,,,,,,,,
BHARATFORG, 25-Jun-2020,356.65,351.95,365.0,348.15, 358.50,357.45,358.31,1726134.0,6184.94,28518.0, 387448, 22.45
BHARTIARTL, 25-Jun-2020,557.35,553.9,563.7,550.0, 557.00,559.0,556.49,15589317.0,86753.27,187766.0, 7025257, 45.06
BHEL, 25-Jun-2020,36.35,36.3,38.5,35.55, 37.80,37.85,37.21,144570254.0,53794.39,159327.0, 19308696, 13.36
BIOCON, 25-Jun-2020,389.9,389.0,406.4,388.45, 403.95,404.3,400.55,6439906.0,25794.95,83422.0, 1786580, 27.74
BOSCHLTD, 25-Jun-2020,11401.3,11339.0,11508.05,11230.0, 11405.00,11447.05,11417.46,35402.0,4042.01,9425.0, 9634, 27.21
BPCL, 25-Jun-2020,378.55,378.0,384.3,367.3, 372.00,370.25,374.06,6697152.0,25051.39,81538.0, 1809088, 27.01
BRITANNIA, 25-Jun-2020,3446.4,3424.9,3474.4,3420.0, 3440.45,3450.4,3453.11,546489.0,18870.85,35227.0, 318758, 58.33
CADILAHC, 25-Jun-2020,362.8,362.8,367.2,360.0, 363.00,363.35,364.04,1701434.0,6193.95,19187.0, 521633, 30.66
CANBK, 25-Jun-2020,109.5,102.3,106.35,102.0, 105.25,104.8,104.23,36462853.0,38006.58,132416.0, 3353694, 9.20
CENTURYTEX, 25-Jun-2020,305.3,303.5,311.0,301.6, 307.15,307.45,307.01,1054848.0,3238.49,16206.0, 243251, 23.06
CHOLAFIN, 25-Jun-2020,196.8,192.7,208.4,190.1, 205.80,205.95,201.51,22336542.0,45010.49,163619.0, 3837601, 17.18
CIPLA, 25-Jun-2020,631.2,632.0,642.0,629.15, 637.95,634.9,634.51,5816412.0,36905.47,109040.0, 1620625, 27.86
COALINDIA, 25-Jun-2020,141.55,140.35,143.65,138.35, 139.20,140.4,140.56,33546613.0,47153.63,107189.0, 15656332, 46.67
COLPAL, 25-Jun-2020,1388.35,1393.5,1421.0,1388.75, 1396.00,1397.6,1406.92,750246.0,10555.33,35437.0, 227033, 30.26
CONCOR, 25-Jun-2020,417.75,416.95,429.75,410.55, 426.20,426.2,425.09,2307294.0,9808.13,62246.0, 1002526, 43.45
CUMMINSIND, 25-Jun-2020,401.1,398.9,408.85,395.1, 403.20,403.7,401.7,1189573.0,4778.49,16314.0, 306791, 25.79
DABUR, 25-Jun-2020,455.05,454.6,465.75,452.75, 459.75,459.15,461.54,3846216.0,17751.65,69744.0, 1922103, 49.97
DIVISLAB, 25-Jun-2020,2341.35,2340.55,2378.0,2325.35, 2337.00,2330.45,2345.96,316335.0,7421.08,39300.0, 105636, 33.39
DLF, 25-Jun-2020,160.05,159.8,161.4,156.55, 157.35,157.25,158.61,10615968.0,16837.83,62727.0, 1949755, 18.37
DRREDDY, 25-Jun-2020,4042.65,4030.0,4041.0,3976.55, 4004.45,4006.6,4009.07,753882.0,30223.63,49914.0, 281136, 37.29
EICHERMOT, 25-Jun-2020,18436.85,18374.95,18374.95,17920.0, 18049.00,18090.7,18070.11,276829.0,50023.3,54341.0, 74108, 26.77
